MARITAL_STATUS,STATE,CREDIT_BALANCE,CUSTOMER_TENURE,MORTGAGE_AMOUNT,BANK_FUNDS,NUM_DEPENDENTS,HAS_CHILDREN,INCOME,GENDER,PROFESSION,CREDIT_CARD_LIMITS,REGION,HOME_OWNERSHIP,NUM_ONLINE_TRANS,BUY_INSURANCE,MONTHLY_CHECKS,NUM_TRANS_KIOSK,AGE,MONEY_MONTLY_OVERDRAWN,TOTAL_AUTOM_PAYMENTS,NUM_TRANS_TELLER,CHECKING_BALANCE,NUM_TRANS_ATM,LTV_BIN,NUM_MORTGAGES,CAR_OWNERSHIP
DIVORCED,Minnesota,0,3,3100,0,3,0,58059,M,Customer Service,900,West,1,3100,No,0,3,26,53.06,506,1,25,0,HIGH,1,1
WIDOWED,New York,4447,1,6750,24700,1,1,59768,F,Administrative and Clerical,900,NorthEast,1,4700,No,4,1,64,53.52,14333,1,7130,4,HIGH,1,1
MARRIED,North Carolina,0,2,1500,0,2,1,66112,M,IT,500,South,1,1500,No,0,3,34,53.95,506,1,25,4,MEDIUM,1,1
SINGLE,Wisconsin,0,2,0,0,0,0,61649,M,Customer Service,900,Midwest,0,0,No,0,3,23,53.06,506,0,25,0,MEDIUM,0,1
DIVORCED,Minnesota,0,2,2500,2400,2,1,68702,M,Undefined,1000,West,1,2500,Yes,3,6,29,53.32,586,1,25,3,HIGH,1,1
MARRIED,New York,29796,4,5000,2500,3,1,62221,M,Undefined,500,NorthEast,1,5000,Yes,3,0,48,54.34,31274,1,25,5,MEDIUM,1,1
SINGLE,New York,0,4,0,5272,3,1,63962,M,Education,500,NorthEast,0,1136,Yes,3,6,61,55.3,1595,2,25,5,LOW,0,1
SINGLE,New York,0,3,600,2232,3,1,60206,M,Healthcare,900,NorthEast,1,516,No,4,0,59,53.66,4782,1,3673,4,MEDIUM,1,1
DIVORCED,California,63722,1,2000,2150,1,1,62886,F,Undefined,1300,West,2,300,No,4,0,73,56.06,67967,1,25,6,VERY HIGH,2,1
SINGLE,California,0,2,0,0,0,0,69526,M,Customer Service,1000,West,0,0,No,0,0,0,53.06,506,0,25,0,LOW,0,1
MARRIED,New York,0,3,1203,0,3,0,65478,M,Customer Service,500,NorthEast,1,1203,No,2,0,27,53.07,506,1,25,1,HIGH,1,1
DIVORCED,California,42940,4,4500,16500,6,1,81896,F,Healthcare,3000,West,1,2700,No,3,8,60,55.55,43449,5,25,6,MEDIUM,1,1
SINGLE,California,0,2,0,0,0,1,60402,M,IT,900,West,0,0,No,3,0,28,53.09,594,0,25,1,LOW,0,1
DIVORCED,California,1320,1,3500,4600,1,1,62422,F,Creative Media,900,West,1,500,No,17,0,54,53.14,2584,4,617,2,HIGH,1,1
SINGLE,Nevada,0,2,0,1521,0,1,65312,M,Undefined,600,Southwest,0,671,No,2,0,53,53.08,929,3,422,1,MEDIUM,0,1
MARRIED,New York,0,3,990,0,3,1,62173,M,Creative Media,600,NorthEast,1,990,No,1,0,41,53.25,528,1,25,3,MEDIUM,1,1
DIVORCED,California,0,4,4368,9700,1,1,58732,F,Creative Media,800,West,1,1600,Yes,3,0,64,54.81,985,4,25,5,HIGH,1,1
WIDOWED,Nevada,0,2,5000,19000,1,1,93562,F,Undefined,3500,Southwest,1,3500,Yes,4,0,73,53.44,2116,5,25,4,VERY HIGH,1,1
DIVORCED,Ohio,0,2,4028,3900,2,1,69907,F,Customer Service,800,Midwest,1,4028,No,6,0,67,53.08,1113,1,602,1,HIGH,1,1
DIVORCED,Florida,0,1,13311,5120,1,0,67848,M,Administrative and Clerical,900,South,1,1170,No,10,4,67,53.94,34858,4,20391,4,VERY HIGH,1,1
DIVORCED,Nevada,11348,5,5714,10500,5,1,61296,F,Administrative and Clerical,500,Southwest,1,3000,No,2,0,61,54.51,41243,4,19226,5,MEDIUM,1,1
WIDOWED,Florida,0,1,6000,16000,1,0,64053,F,Undefined,1000,South,2,4600,Yes,2,0,57,56.97,7574,1,26,6,VERY HIGH,2,1
SINGLE,California,0,1,0,0,1,0,65478,M,Customer Service,900,West,0,0,No,4,0,30,53.08,1581,0,991,1,MEDIUM,0,1
MARRIED,California,0,5,5000,4300,5,1,67985,F,Childcare and Home,900,West,1,800,Yes,17,0,28,54.09,1079,1,486,5,MEDIUM,1,1
MARRIED,California,0,1,6000,0,1,1,61091,F,IT,500,West,1,6000,No,0,0,31,53.06,506,1,25,0,MEDIUM,1,1
SINGLE,California,97672,2,0,0,0,1,64075,M,Finance,500,West,0,0,No,18,0,49,55.65,101756,3,1011,6,MEDIUM,0,1
DIVORCED,New York,33935,4,4000,10050,1,1,63183,F,IT,900,NorthEast,1,300,No,7,0,39,54.01,35632,1,307,5,HIGH,1,1
DIVORCED,New York,0,5,3500,14380,5,1,57754,F,Administrative and Clerical,1100,NorthEast,1,4480,No,2,9,40,53.13,2247,4,83,2,MEDIUM,1,1
DIVORCED,California,62068,1,3500,8500,1,1,67588,M,Administrative and Clerical,1400,West,1,1400,No,14,0,62,55.0,73460,3,10694,5,HIGH,1,1
DIVORCED,Mississippi,0,5,2400,4086,5,1,65015,F,Customer Service,800,South,1,936,No,4,10,56,53.0,1934,1,25,2,MEDIUM,1,1
DIVORCED,New York,60923,1,4500,9850,1,1,70826,F,IT,900,NorthEast,1,1500,No,4,4,38,56.88,86723,4,13554,6,HIGH,1,1
DIVORCED,California,0,5,2500,0,5,1,69455,F,IT,1500,West,1,2500,No,0,0,24,56.81,506,0,25,6,MEDIUM,1,1
DIVORCED,District of Columbia,6859,5,4644,4400,5,1,66431,M,Customer Service,900,NorthEast,1,500,No,4,3,29,54.22,17933,3,10140,5,MEDIUM,1,1
MARRIED,New York,0,3,1500,0,3,0,59678,M,Undefined,1500,NorthEast,1,1500,No,1,0,65,53.02,629,0,122,2,HIGH,1,1
SINGLE,Michigan,134,2,0,9400,0,0,66963,M,Healthcare,800,Midwest,0,2000,No,11,1,49,53.76,7962,3,6871,4,HIGH,0,1
MARRIED,Washington,328,3,1100,950,3,0,65596,M,Customer Service,1500,West,1,1100,No,8,1,34,53.16,1479,3,639,2,HIGH,1,1
WIDOWED,New York,0,2,6000,0,0,1,58217,M,Healthcare,800,NorthEast,1,6000,No,1,1,56,53.08,914,1,25,1,HIGH,1,1
MARRIED,New York,0,1,1084,0,1,1,76214,M,Undefined,1500,NorthEast,1,1084,No,0,1,37,53.06,507,0,25,0,HIGH,1,1
MARRIED,California,0,3,1200,500,3,0,67528,M,Undefined,800,West,1,1200,Yes,3,1,42,53.94,724,2,25,4,HIGH,1,1
MARRIED,Michigan,0,1,1300,0,1,0,62143,M,Childcare and Home,800,Midwest,1,1300,No,0,1,44,53.06,507,0,25,0,HIGH,1,1
SINGLE,California,0,2,0,0,0,0,73850,M,Healthcare,1500,West,0,0,No,0,1,24,53.06,504,0,25,0,MEDIUM,0,1
SINGLE,California,0,3,0,550,3,0,64417,M,IT,1500,West,0,0,No,2,1,20,53.28,554,2,25,3,LOW,0,1
SINGLE,California,0,2,0,0,0,0,66482,M,Healthcare,1500,West,0,0,No,0,1,21,53.06,535,0,25,0,MEDIUM,0,1
MARRIED,Michigan,0,3,1600,1300,3,1,59543,M,IT,1500,Midwest,1,1600,Yes,4,2,31,53.58,1363,1,25,4,MEDIUM,1,1
DIVORCED,New York,0,3,2145,0,3,1,68104,M,IT,1500,NorthEast,1,2145,No,0,1,37,53.06,507,1,25,0,MEDIUM,1,1
MARRIED,New York,0,1,1000,0,1,0,65846,M,IT,800,NorthEast,1,1000,No,2,1,62,53.07,802,0,25,1,VERY HIGH,1,1
DIVORCED,New York,0,1,3000,1500,1,0,63533,M,IT,800,NorthEast,1,3000,No,11,1,41,53.23,2323,3,25,3,HIGH,1,1
DIVORCED,Michigan,0,5,3500,6500,5,1,63475,F,Undefined,800,Midwest,1,3500,No,4,1,49,54.05,1804,1,1155,5,MEDIUM,1,1
MARRIED,Michigan,0,3,1500,0,3,0,75088,M,IT,1500,Midwest,1,1500,No,0,1,37,53.06,507,0,25,0,HIGH,1,1
DIVORCED,California,0,1,3200,0,1,1,62279,F,Administrative and Clerical,800,West,1,3200,No,1,1,52,53.13,0,1,25,2,HIGH,1,1
MARRIED,California,0,3,1030,1100,3,1,66364,M,Healthcare,1000,West,2,1030,Yes,8,1,26,54.18,1188,3,25,5,HIGH,2,1
MARRIED,New York,0,3,1500,0,3,1,60125,M,Administrative and Clerical,1000,NorthEast,1,1500,No,2,1,27,53.07,0,1,25,1,MEDIUM,1,1
MARRIED,Florida,0,3,847,750,3,1,68173,M,IT,1500,South,1,847,Yes,4,3,29,53.28,346,1,25,3,MEDIUM,1,1
SINGLE,New York,0,2,0,0,0,0,71001,M,Healthcare,1500,NorthEast,0,0,No,0,1,27,53.06,508,0,25,0,MEDIUM,0,1
MARRIED,New York,0,3,1000,300,3,0,57969,M,IT,1500,NorthEast,1,1000,No,13,1,24,53.07,938,2,125,1,HIGH,1,1
SINGLE,Michigan,0,1,580,250,1,1,58029,M,Construction and Trades,800,Midwest,1,580,No,13,1,41,53.1,661,2,151,2,HIGH,1,1
DIVORCED,New York,0,1,3400,6604,1,1,57826,M,Childcare and Home,1500,NorthEast,1,1554,Yes,11,2,30,53.77,1888,4,25,4,MEDIUM,1,1
DIVORCED,New York,0,1,2000,3030,1,1,66450,F,Education,1500,NorthEast,1,780,Yes,5,1,34,54.35,847,1,25,5,HIGH,1,1
DIVORCED,New York,0,3,3000,4150,3,1,66248,M,IT,1500,NorthEast,1,1500,No,4,7,26,53.41,8599,1,7805,4,MEDIUM,1,1
MARRIED,New York,0,3,1100,650,3,0,64220,M,Customer Service,1500,NorthEast,1,1100,Yes,3,1,26,53.04,783,2,133,2,HIGH,1,1
DIVORCED,New York,0,1,2000,0,1,0,69066,F,IT,1500,NorthEast,1,2000,No,2,1,35,53.04,0,1,25,2,HIGH,1,1
DIVORCED,Ohio,0,2,3000,0,0,1,64586,M,Undefined,1500,Midwest,1,3000,No,0,1,35,53.06,0,1,25,0,HIGH,1,1
SINGLE,District of Columbia,0,3,0,650,3,1,76813,M,IT,1500,NorthEast,0,0,Yes,2,1,23,53.24,259,2,25,3,LOW,0,1
SINGLE,California,0,2,0,0,0,0,74772,M,Administrative and Clerical,1500,West,0,0,No,2,1,0,53.09,360,0,25,1,LOW,0,1
SINGLE,Michigan,0,3,0,750,3,0,69959,M,Undefined,1500,Midwest,0,0,No,3,1,24,53.33,0,3,25,3,MEDIUM,0,0
MARRIED,California,0,5,10000,0,5,0,76627,M,Childcare and Home,1500,West,1,10000,No,0,1,33,53.06,0,0,25,0,HIGH,1,1
SINGLE,California,27042,2,0,11510,0,0,59981,M,Undefined,800,West,0,0,No,2,1,50,53.52,30381,4,25,4,MEDIUM,0,1
SINGLE,California,0,2,0,1200,0,0,61908,M,Undefined,800,West,0,0,Yes,7,1,52,53.37,209,3,25,3,MEDIUM,0,1
SINGLE,New York,0,2,0,0,0,0,58294,M,Healthcare,1000,NorthEast,0,0,No,0,1,0,53.06,500,0,25,0,LOW,0,1
SINGLE,Wisconsin,0,2,0,0,0,0,76658,M,Healthcare,1500,Midwest,0,0,No,1,1,38,53.06,506,0,25,0,HIGH,0,1
SINGLE,Michigan,0,2,0,2520,0,0,64359,M,Healthcare,700,Midwest,0,720,No,18,9,45,53.68,969,3,396,4,MEDIUM,0,1
MARRIED,Michigan,0,1,1500,0,1,0,57726,F,Undefined,1500,Midwest,1,1500,No,2,1,48,53.09,0,1,55,1,HIGH,1,1
DIVORCED,Michigan,0,1,3900,4200,1,1,61592,F,Public Safety,800,Midwest,1,750,Yes,4,1,49,54.52,1830,1,442,5,HIGH,1,1
MARRIED,Michigan,0,3,710,0,3,0,63270,M,Construction and Trades,1500,Midwest,2,710,No,3,1,28,53.04,512,1,25,2,VERY HIGH,2,1
WIDOWED,District of Columbia,1296,2,8339,5001,2,0,48782,F,IT,4000,NorthEast,1,1,No,0,1,52,53.24,13324,4,25,3,HIGH,1,1
MARRIED,Illinois,0,1,5000,19200,1,1,74743,F,IT,1400,Midwest,1,2000,No,3,10,35,53.68,2854,6,25,4,HIGH,1,1
MARRIED,California,0,4,1100,0,3,1,56137,F,Creative Media,1500,West,1,1100,No,4,1,61,53.14,1645,1,25,2,MEDIUM,1,1
MARRIED,California,0,3,1000,630,3,1,76840,M,IT,1500,West,1,1000,Yes,7,1,31,54.01,1038,2,25,5,HIGH,1,1
DIVORCED,California,0,1,3500,0,1,1,69140,F,IT,1500,West,1,3500,No,1,1,27,53.07,519,1,25,1,HIGH,1,1
MARRIED,Michigan,0,3,800,701,3,1,60350,M,Healthcare,500,Midwest,1,1,No,12,7,28,53.39,768,1,56,4,MEDIUM,1,1
MARRIED,Michigan,0,3,700,0,3,0,69543,M,Undefined,1000,Midwest,1,700,No,0,3,30,53.06,504,1,25,0,HIGH,1,1
SINGLE,California,0,2,0,1832,0,1,60960,M,Customer Service,600,West,0,832,No,3,3,34,53.16,3398,2,2869,2,MEDIUM,0,1
SINGLE,Michigan,0,3,500,0,3,1,63139,M,IT,1000,Midwest,1,500,No,0,3,30,53.06,502,1,25,0,MEDIUM,1,1
MARRIED,California,0,3,940,0,3,1,64785,M,Customer Service,1500,West,1,940,No,1,3,36,53.07,508,1,25,1,MEDIUM,1,1
SINGLE,California,0,2,0,2020,0,1,64174,M,Administrative and Clerical,700,West,0,720,Yes,3,7,35,53.87,2898,1,1324,4,MEDIUM,0,1
DIVORCED,Oregon,5495,2,3000,10150,0,0,65506,M,Undefined,500,West,1,2100,No,6,3,36,55.06,10846,3,2442,5,VERY HIGH,1,1
MARRIED,California,411,1,5000,9300,1,0,66658,F,IT,900,West,2,1700,No,12,9,35,53.91,8884,4,7634,4,VERY HIGH,2,1
DIVORCED,Michigan,0,5,2000,1600,5,0,52840,F,Creative Media,2500,Midwest,1,2000,No,14,4,28,53.04,329,3,53,2,MEDIUM,1,1
SINGLE,California,0,2,0,11000,0,0,71500,M,Healthcare,2500,West,0,3000,No,12,1,68,53.8,2798,4,25,4,HIGH,0,1
DIVORCED,California,37635,5,0,10900,5,1,69320,F,Customer Service,1000,West,0,1700,No,3,1,53,53.01,39350,4,25,2,LOW,0,1
MARRIED,California,0,4,850,900,3,1,73699,M,Healthcare,1600,West,1,850,No,3,1,38,53.18,2141,1,1025,3,HIGH,1,1
MARRIED,New York,0,4,6870,9900,1,1,67660,F,Undefined,1500,NorthEast,1,3200,Yes,0,1,39,53.46,655,4,25,4,HIGH,1,1
DIVORCED,Michigan,0,1,2250,10950,1,1,62900,M,IT,1000,Midwest,1,2250,Yes,4,1,43,53.76,819,4,25,4,HIGH,1,1
SINGLE,Illinois,0,2,0,11500,0,1,68631,M,Healthcare,1400,Midwest,0,2400,No,7,1,67,53.09,1119,3,25,1,MEDIUM,0,1
SINGLE,California,909,2,0,200,0,1,61159,M,Administrative and Clerical,900,West,0,0,No,3,1,48,54.27,13199,1,11146,5,MEDIUM,0,1
SINGLE,New York,0,3,0,1500,3,1,69231,M,Undefined,1000,NorthEast,0,0,Yes,6,2,24,54.18,1196,1,25,5,LOW,0,1
DIVORCED,Utah,0,1,4500,0,1,0,59866,F,Administrative and Clerical,800,Southwest,1,4500,No,1,1,49,53.09,0,1,25,1,HIGH,1,1
WIDOWED,California,0,1,5000,11700,1,1,69833,F,Customer Service,800,West,1,4000,Yes,15,1,59,56.58,2946,4,25,6,HIGH,1,1
SINGLE,California,0,3,0,500,3,0,65006,M,IT,1500,West,0,0,No,3,1,24,53.15,0,2,69,2,MEDIUM,0,0
MARRIED,New York,0,3,720,0,3,0,59720,M,Public Safety,800,NorthEast,1,720,No,6,1,41,53.05,172,1,118,2,HIGH,1,1
DIVORCED,New York,0,1,2600,3451,1,1,71886,F,Public Safety,1500,NorthEast,1,1,Yes,3,1,32,54.3,755,1,57,5,HIGH,1,1
SINGLE,California,0,3,371,0,3,0,73997,M,Undefined,2500,West,1,371,No,1,1,38,53.14,1128,0,25,2,HIGH,1,1
DIVORCED,Florida,0,1,2810,2500,1,1,51671,F,Undefined,2500,South,1,800,Yes,2,1,59,53.91,890,1,25,4,HIGH,1,1
MARRIED,New York,0,3,1000,500,3,0,62492,M,IT,1500,NorthEast,1,1000,No,7,1,23,52.99,0,2,25,2,HIGH,1,1
DIVORCED,Michigan,0,1,3000,1900,1,1,77667,F,Healthcare,2500,Midwest,1,500,No,2,3,29,53.8,3359,1,25,4,HIGH,1,1
SINGLE,Illinois,0,1,316,500,1,0,74115,M,Undefined,1500,Midwest,1,316,Yes,7,1,29,53.07,0,2,25,1,HIGH,1,1
MARRIED,Michigan,0,1,1037,800,1,0,76329,M,Construction and Trades,1500,Midwest,1,1037,Yes,15,1,29,53.38,445,3,25,3,VERY HIGH,1,1
SINGLE,Michigan,0,2,0,0,0,0,76097,M,Administrative and Clerical,1500,Midwest,0,0,No,0,1,27,53.06,0,0,25,0,HIGH,0,0
SINGLE,California,0,3,146,0,3,0,83976,M,Undefined,2500,West,1,146,No,0,1,37,53.06,0,0,25,0,VERY HIGH,1,1
MARRIED,Florida,0,3,1000,1000,3,0,54716,M,IT,1500,South,1,1000,Yes,4,2,28,53.42,174,3,103,4,MEDIUM,1,1
MARRIED,California,0,5,750,450,5,1,50374,F,Undefined,2500,West,1,750,No,11,1,17,53.25,133,2,25,3,LOW,1,1
MARRIED,Oregon,0,3,700,0,3,0,57221,M,Administrative and Clerical,1500,West,1,700,No,5,1,20,53.05,0,0,25,2,MEDIUM,1,1
SINGLE,New York,0,3,0,0,3,0,64297,M,IT,1000,NorthEast,0,0,No,4,3,22,53.4,0,1,25,4,LOW,0,0
MARRIED,Oklahoma,0,3,1000,1400,3,0,67785,M,Administrative and Clerical,1000,Midwest,1,1000,Yes,16,1,21,53.36,304,3,25,3,HIGH,1,1
SINGLE,Nevada,0,3,130,500,3,0,70277,M,IT,1000,Southwest,1,130,No,4,1,23,53.12,114,2,78,2,HIGH,1,1
SINGLE,North Carolina,0,3,500,500,3,0,71086,M,IT,1000,South,1,500,Yes,3,2,20,52.98,119,2,89,2,HIGH,1,1
MARRIED,Michigan,0,3,700,600,3,0,59353,M,Undefined,1000,Midwest,1,700,No,4,1,22,53.45,380,2,315,4,HIGH,1,1
MARRIED,Texas,0,1,800,250,1,1,64301,M,Undefined,600,Southwest,1,800,Yes,10,3,35,53.24,252,2,25,3,HIGH,1,1
SINGLE,New York,0,3,515,0,3,0,60187,M,Undefined,600,NorthEast,1,515,No,1,1,36,53.05,104,0,25,2,HIGH,1,1
WIDOWED,California,0,1,5000,12835,1,1,68681,M,Creative Media,800,West,2,3085,No,3,1,66,53.31,3569,7,858,3,VERY HIGH,2,1
MARRIED,New York,0,3,1000,0,3,0,58005,M,Construction and Trades,1500,NorthEast,1,1000,No,2,1,22,53.3,2717,0,25,3,HIGH,1,1
MARRIED,New York,0,1,8000,2900,1,0,67907,F,IT,1500,NorthEast,1,700,Yes,2,1,34,54.87,1539,1,25,5,HIGH,1,1
DIVORCED,New York,1514,5,3200,2800,5,1,73000,F,Administrative and Clerical,1500,NorthEast,1,500,No,11,1,35,53.65,2329,1,168,4,MEDIUM,1,1
SINGLE,California,0,3,520,550,3,1,69334,M,IT,1500,West,1,520,No,18,1,24,53.15,386,2,25,2,MEDIUM,1,1
MARRIED,California,0,2,910,0,0,0,59923,M,Healthcare,900,West,1,910,No,2,1,40,53.42,502,1,25,4,HIGH,1,1
MARRIED,Michigan,0,5,6000,10340,5,1,68449,M,Creative Media,900,Midwest,1,2190,Yes,4,8,27,53.76,2014,1,758,4,MEDIUM,1,1
SINGLE,Michigan,0,2,0,0,2,1,58302,M,Construction and Trades,1500,Midwest,0,0,No,1,1,30,53.08,739,0,25,1,LOW,0,1
SINGLE,Michigan,0,2,0,4849,0,1,62077,M,Healthcare,800,Midwest,0,1199,No,4,1,49,53.23,1970,6,828,3,MEDIUM,0,1
DIVORCED,Nevada,0,1,3200,3200,1,1,63272,F,IT,500,Southwest,1,400,Yes,2,1,53,57.37,3495,1,25,6,HIGH,1,1
WIDOWED,New York,0,1,5000,7600,1,1,61964,F,IT,500,NorthEast,1,5000,Yes,2,1,49,54.22,6108,2,486,5,HIGH,1,1
WIDOWED,Michigan,0,2,10000,14800,1,1,66992,F,IT,900,Midwest,1,2600,Yes,4,1,59,63.21,6359,5,25,7,HIGH,1,1
DIVORCED,Mississippi,0,1,3000,0,1,1,63697,F,Transportation,900,South,1,3000,No,1,1,31,53.07,511,1,25,1,HIGH,1,1
MARRIED,California,0,4,1500,0,4,1,70411,M,Healthcare,900,West,1,1500,No,0,1,56,53.06,507,1,25,0,HIGH,1,1
SINGLE,California,0,3,632,0,3,0,68270,M,Healthcare,900,West,1,632,No,0,1,43,53.06,507,0,25,0,HIGH,1,1
MARRIED,California,0,3,711,651,3,0,67814,M,Undefined,900,West,1,1,Yes,13,1,29,53.59,828,3,25,4,HIGH,1,1
DIVORCED,Minnesota,0,1,3700,7101,1,1,61773,F,Undefined,900,West,2,1,No,4,1,52,52.95,1174,4,846,2,VERY HIGH,2,1
WIDOWED,New York,0,2,5000,0,0,1,57839,M,IT,900,NorthEast,1,5000,No,1,1,66,53.08,622,1,25,1,HIGH,1,1
SINGLE,California,0,2,0,0,0,0,59753,M,Finance,600,West,0,0,No,3,1,62,53.1,529,1,25,2,HIGH,0,1
MARRIED,New York,0,3,1000,750,3,0,60657,M,Customer Service,700,NorthEast,1,1000,No,1,1,57,53.08,553,3,25,1,HIGH,1,1
SINGLE,New York,0,2,0,0,0,0,62683,M,IT,1300,NorthEast,0,0,No,0,1,61,53.06,502,1,25,0,HIGH,0,1
DIVORCED,New York,0,2,2000,4440,0,1,64698,M,Healthcare,900,NorthEast,1,1120,Yes,13,3,36,56.35,1591,1,25,6,HIGH,1,1
MARRIED,California,0,3,1200,0,3,0,66685,M,IT,1500,West,1,1200,No,0,1,40,53.06,506,1,25,0,HIGH,1,1
MARRIED,Michigan,0,3,959,1250,3,0,55979,M,Undefined,1500,Midwest,1,350,No,2,1,34,53.27,1053,2,539,3,HIGH,1,1
MARRIED,New York,0,4,1000,0,1,1,64733,M,Undefined,800,NorthEast,1,1000,No,0,1,51,53.06,506,1,25,0,HIGH,1,1
SINGLE,Nevada,0,3,230,0,3,0,55039,M,Healthcare,1500,Southwest,1,230,No,2,1,23,53.08,607,1,25,1,MEDIUM,1,1
MARRIED,New York,0,1,1089,0,1,0,70557,M,Construction and Trades,1500,NorthEast,1,1089,No,1,1,40,53.06,507,0,25,0,VERY HIGH,1,1
DIVORCED,California,0,1,3900,0,1,1,66336,F,Undefined,1500,West,1,3900,No,0,3,35,53.07,506,1,25,1,HIGH,1,1
MARRIED,New York,0,1,1000,1600,1,1,58699,M,Creative Media,800,NorthEast,1,1000,No,18,1,77,54.01,16331,3,15818,5,HIGH,1,1
MARRIED,New York,0,4,1500,1250,3,1,75421,F,Customer Service,1500,NorthEast,1,1500,Yes,2,1,26,54.41,1076,3,25,5,HIGH,1,1
MARRIED,California,1079,3,800,1450,3,1,68914,M,Customer Service,1500,West,1,800,Yes,2,1,23,53.09,1718,3,25,1,MEDIUM,1,1
DIVORCED,California,0,4,2200,0,6,1,58023,M,Customer Service,800,West,1,2200,No,4,1,52,53.15,1018,1,280,2,MEDIUM,1,1
SINGLE,Michigan,0,3,111,0,3,0,74789,M,Childcare and Home,1500,Midwest,1,111,No,0,1,29,53.05,506,0,25,2,HIGH,1,1
MARRIED,Michigan,4905,4,755,4000,4,1,75776,M,Customer Service,1500,Midwest,1,1500,No,6,1,36,52.75,10259,1,52,2,MEDIUM,1,1
DIVORCED,New York,0,1,3800,8250,1,1,63837,F,IT,800,NorthEast,1,1500,Yes,10,1,42,55.38,2171,1,25,5,HIGH,1,1
DIVORCED,California,0,4,2217,2951,4,1,59997,M,Undefined,500,West,2,1,No,4,1,42,54.19,23248,3,22127,5,HIGH,2,1
WIDOWED,New York,52123,4,6000,22001,1,0,65584,F,Undefined,800,NorthEast,1,1,No,2,1,55,57.88,107253,1,25,6,VERY HIGH,1,1
DIVORCED,Michigan,0,1,3000,5060,1,1,69445,F,Undefined,800,Midwest,1,1000,Yes,3,6,45,55.9,2974,4,126,6,HIGH,1,1
SINGLE,Nevada,0,1,0,4730,1,0,65617,M,Healthcare,600,Southwest,0,2130,Yes,3,3,31,53.42,850,1,25,4,MEDIUM,0,1
SINGLE,Michigan,0,4,460,1800,3,0,74399,M,Undefined,1500,Midwest,1,800,No,2,0,34,53.3,3733,3,3221,3,HIGH,1,1
SINGLE,California,0,2,0,0,0,1,64392,M,Customer Service,500,West,0,0,No,12,0,37,53.04,525,1,25,2,MEDIUM,0,1
DIVORCED,Michigan,0,1,2596,2050,1,1,67772,M,IT,900,Midwest,2,450,Yes,2,6,32,54.03,1270,1,25,5,VERY HIGH,2,1
SINGLE,California,0,2,0,0,0,0,61790,M,Healthcare,500,West,0,0,No,0,0,42,53.06,504,0,25,0,MEDIUM,0,1
MARRIED,Utah,0,1,1500,0,1,0,69591,M,IT,1300,Southwest,1,1500,No,0,0,35,53.07,506,1,25,1,HIGH,1,1
SINGLE,Michigan,2576,2,0,800,0,1,60585,M,Undefined,600,Midwest,0,0,No,13,0,32,53.56,8285,2,4027,4,MEDIUM,0,1
WIDOWED,New York,0,1,5000,16200,1,1,63961,F,Administrative and Clerical,900,NorthEast,1,1200,No,4,10,56,54.16,2845,5,25,5,HIGH,1,1
MARRIED,Michigan,0,2,1000,0,0,1,64544,M,IT,1000,Midwest,2,1000,No,0,0,30,53.06,537,1,25,0,VERY HIGH,2,1
MARRIED,New York,0,2,5000,9300,0,1,82099,F,Healthcare,3500,NorthEast,2,5000,Yes,2,0,47,53.96,1793,3,25,5,VERY HIGH,2,1
SINGLE,California,0,2,0,0,0,1,62163,M,Finance,500,West,0,0,No,4,0,46,53.12,636,0,25,2,MEDIUM,0,1
MARRIED,Ohio,0,1,971,1100,1,1,67934,F,Healthcare,1000,Midwest,2,300,Yes,10,0,29,53.02,1484,3,825,2,VERY HIGH,2,1
MARRIED,New York,7062,1,5000,7004,1,1,62730,M,Transportation,500,NorthEast,1,1554,No,2,0,48,54.06,28276,8,20368,5,HIGH,1,1
DIVORCED,California,0,1,2000,2000,1,1,57930,F,Childcare and Home,1500,West,1,400,Yes,3,0,37,55.08,1254,1,25,5,MEDIUM,1,1
DIVORCED,Michigan,0,1,2500,0,1,0,63416,F,Administrative and Clerical,500,Midwest,1,2500,No,0,0,56,53.06,507,1,25,0,HIGH,1,1
DIVORCED,New York,0,2,2500,0,0,1,57440,M,Healthcare,1500,NorthEast,1,2500,No,1,0,49,53.08,530,0,25,1,HIGH,1,1
MARRIED,New York,0,1,0,5501,1,1,59245,F,Undefined,900,NorthEast,0,1,No,4,2,48,56.72,3363,4,25,6,LOW,0,1
MARRIED,Michigan,0,4,670,0,6,1,62563,M,Undefined,1200,Midwest,1,670,No,0,0,80,53.06,510,0,25,0,MEDIUM,1,1
DIVORCED,California,39583,1,2000,3650,1,1,70947,F,Transportation,1500,West,1,1000,Yes,4,1,61,56.19,41209,2,25,6,HIGH,1,1
WIDOWED,Michigan,0,4,12000,19400,6,1,89876,F,Public Safety,5000,Midwest,1,12000,No,11,1,75,53.49,4731,2,4140,4,HIGH,1,1
SINGLE,New York,0,3,0,0,3,0,63738,M,Education,600,NorthEast,0,0,No,0,1,62,57.26,92405,0,25,6,MEDIUM,0,1
DIVORCED,California,0,1,3263,2050,1,0,62207,M,Customer Service,2000,West,2,300,Yes,15,1,42,52.99,460,2,25,2,VERY HIGH,2,1
DIVORCED,Illinois,0,1,3000,3250,1,1,56405,M,Administrative and Clerical,1500,Midwest,1,600,Yes,3,10,46,53.56,1289,2,25,4,HIGH,1,1
